CusID,Name,Phone,Email,City,Country,Gender,DateOfBirth,JobTitle,created_at,updated_at
C001,Customer 1,0959174586,cust1@email.com,Hà Nội,Vietnam,F,1992-01-01,Freelancer,2024-01-01 00:00:00,2024-01-01 00:00:00
C002,Customer 2,0931104612,cust2@email.com,Hải Phòng,Vietnam,F,1992-01-01,Freelancer,2024-01-01 00:00:00,2024-01-01 00:00:00
C003,Customer 3,0925320410,cust3@email.com,Đà Nẵng,Vietnam,Other,1992-01-01,Freelancer,2024-01-01 00:00:00,2024-01-01 00:00:00
C004,Customer 4,0968326890,cust4@email.com,Hải Phòng,Vietnam,Other,1994-01-01,Freelancer,2024-01-01 00:00:00,2024-01-01 00:00:00
C005,Customer 5,0922191336,cust5@email.com,Hải Phòng,Vietnam,Other,1997-01-01,Freelancer,2024-01-01 00:00:00,2024-01-01 00:00:00
C006,Customer 6,0936914478,cust6@email.com,HCM,Vietnam,M,1995-01-01,Freelancer,2024-01-01 00:00:00,2024-01-01 00:00:00
C007,Customer 7,0960624455,cust7@email.com,Hải Phòng,Vietnam,F,1996-01-01,Freelancer,2024-01-01 00:00:00,2024-01-01 00:00:00
C008,Customer 8,0918375553,cust8@email.com,Hà Nội,Vietnam,M,1996-01-01,Freelancer,2024-01-01 00:00:00,2024-01-01 00:00:00
C009,Customer 9,0973037009,cust9@email.com,Cần Thơ,Vietnam,M,1994-01-01,Freelancer,2024-01-01 00:00:00,2024-01-01 00:00:00
C010,Customer 10,0927236390,cust10@email.com,Đà Nẵng,Vietnam,Other,1990-01-01,Freelancer,2024-01-01 00:00:00,2024-01-01 00:00:00
C011,Customer 11,0944220682,cust11@email.com,Hà Nội,Vietnam,M,1996-01-01,Freelancer,2024-01-01 00:00:00,2024-01-01 00:00:00
C012,Customer 12,0952281591,cust12@email.com,Hải Phòng,Vietnam,F,1993-01-01,Freelancer,2024-01-01 00:00:00,2024-01-01 00:00:00
C013,Customer 13,0912890755,cust13@email.com,Cần Thơ,Vietnam,F,1997-01-01,Freelancer,2024-01-01 00:00:00,2024-01-01 00:00:00
C014,Customer 14,0930130150,cust14@email.com,Cần Thơ,Vietnam,Other,1996-01-01,Freelancer,2024-01-01 00:00:00,2024-01-01 00:00:00
